BASELINE_ANGLE,TOP_MARGIN,LETTER_SIZE,LINE_SPACING,WORD_SPACING,PEN_PRESSURE,SLANT_ANGLE,SKEW_ANGLE,file,pen_pressure_0,pen_pressure_1,writer,angle_norm,letter_size_norm,slant_angle_norm,word_spacing_norm,pen_pressure_norm
0.0,0.33,16.19,0,1.13,255.0,0,0.84,b06-012-00.png,0.5576511044707111,0.9963041929340244,126,0.0,0.23232323232323235,0.2,0.08862745098039215,1.0
-0.35,0.34,16.29,0,0.91,255.0,180,0.9,b06-012-01.png,0.5404136275565474,0.9963566408920894,126,-0.035105315947843524,0.23478689332347866,1.0,0.07137254901960785,1.0
-0.13,0.33,17.17,0,0.96,255.0,180,0.88,b06-012-02.png,0.5513767070777947,0.9963459534985397,126,-0.013039117352056168,0.2564671101256467,1.0,0.07529411764705882,1.0
-0.22,0.38,17.81,0,1.06,255.0,180,0.7,b06-012-03.png,0.5675849167809142,0.996386507844988,126,-0.02206619859578736,0.2722345405272234,1.0,0.08313725490196079,1.0
0.0,0.32,16.29,0,1.39,255.0,0,0.66,b06-012-04.png,0.5298227693678079,0.9963240336872137,126,0.0,0.23478689332347866,0.2,0.10901960784313725,1.0
0.39,0.34,16.18,0,1.88,255.0,180,0.95,b06-012-05.png,0.5352380952380953,0.9963169712329376,126,0.0391173520561685,0.23207686622320767,1.0,0.14745098039215684,1.0
0.76,0.36,21.25,0,1.65,255.0,0,0.82,b06-027-00.png,0.5083706622827147,0.9962732098443567,129,0.07622868605817452,0.3569844789356984,0.2,0.12941176470588234,1.0
-1.05,0.37,20.23,0,2.51,255.0,180,1.2,b06-027-01.png,0.5062711340323166,0.9962557303013798,129,-0.10531594784353059,0.3318551367331855,1.0,0.1968627450980392,1.0
-0.52,0.34,20.29,0,2.08,255.0,0,1.01,b06-027-02.png,0.5065212942790285,0.9962506576293069,129,-0.05215646940822467,0.3333333333333333,0.2,0.1631372549019608,1.0
-0.2,0.27,21.81,0,1.28,255.0,0,0.93,b06-027-03.png,0.5057124027743423,0.9962447307580218,129,-0.020060180541624874,0.37078098053707803,0.2,0.1003921568627451,1.0
-0.26,0.37,20.8,0,2.57,255.0,0,0.96,b06-027-04.png,0.5105065233378427,0.9962510554461019,129,-0.026078234704112337,0.3458980044345898,0.2,0.2015686274509804,1.0
-0.72,0.32,20.59,0,2.55,255.0,0,0.85,b06-027-05.png,0.5230841391254148,0.9962152533116003,129,-0.07221664994984954,0.3407243163340724,0.2,0.19999999999999998,1.0
1.41,0.35,19.6,0,2.38,255.0,180,1.04,b06-027-06.png,0.5079181995678146,0.9962370905763568,129,0.14142427281845535,0.3163340724316334,1.0,0.18666666666666665,1.0
0.59,0.38,20.65,0,1.74,255.0,0,1.11,b06-027-07.png,0.5093328954945107,0.9962636977468186,129,0.059177532597793375,0.3422025129342202,0.2,0.13647058823529412,1.0
2.84,0.36,19.7,0,2.52,255.0,0,0.81,b06-027-08.png,0.5160791188142776,0.9962780759078885,129,0.2848545636910732,0.3187977334318797,0.2,0.19764705882352943,1.0
-1.62,0.35,18.42,0,1.75,255.0,180,1.04,b06-027-09.png,0.512072599740533,0.9962308490275091,129,-0.1624874623871615,0.2872628726287263,1.0,0.13725490196078433,1.0
