LETTER_SIZE,LETTER_SIZE,LETTER_SIZE,LETTER_SIZE,LINE_SPACING,LINE_SPACING,LINE_SPACING,LINE_SPACING,WORD_SPACING,WORD_SPACING,WORD_SPACING,WORD_SPACING,PEN_PRESSURE,PEN_PRESSURE,PEN_PRESSURE,PEN_PRESSURE,SLANT_ANGLE,SLANT_ANGLE,SLANT_ANGLE,SLANT_ANGLE,SKEW_ANGLE,SKEW_ANGLE,SKEW_ANGLE,SKEW_ANGLE,pen_pressure_0,pen_pressure_0,pen_pressure_0,pen_pressure_0,pen_pressure_1,pen_pressure_1,pen_pressure_1,pen_pressure_1,LETTER_SIZE_discrete,LINE_SPACING_discrete,WORD_SPACING_discrete,PEN_PRESSURE_discrete,SLANT_ANGLE_discrete,SKEW_ANGLE_discrete,pen_pressure_0_discrete,pen_pressure_1_discrete
mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,,,,,,,,
12.755910652920956,1.8859429574669544,8.58,20.13,0,0.0,0,0,2.7526975945017202,0.7850056346494478,0.3,6.7,158.7207044673538,10.118507642983568,134.61,193.14,21.95017182130584,87.57894451982298,-45,180,0.9656701030927832,0.18902179868550262,0.41,1.98,0.6158616307983672,0.04310552356919159,0.5141563631822155,0.7598717449077109,0.9962406806082406,3.176516480950998e-05,0.9961723139548216,0.996356310460411,1,2,1,3,1,5,3,3
15.746428571428575,1.7175949515477793,13.42,19.37,0,0.0,0,0,2.5628571428571427,0.5786912099587452,1.45,3.59,144.93571428571425,2.311195875218355,142.16,148.73,19.642857142857142,68.0911234956591,-15,180,0.9735714285714288,0.208422911144888,0.66,1.27,0.5567883004102269,0.011309645980566458,0.5411990392210597,0.5736379846287332,0.9964075974921792,3.731426909418451e-05,0.9963427139897728,0.9964846909665418,1,2,1,2,1,5,2,3
10.935454545454546,0.9914773183120593,8.9,12.92,0,0.0,0,0,2.86,0.9314934245607963,0.5,3.98,177.4781818181818,2.9404177192426943,173.47,181.85,45.0,0.0,45,45,0.9763636363636362,0.13691404071699345,0.79,1.21,0.6988198435651501,0.012964197991010137,0.6787024836601308,0.7205277317637659,0.9963406208035088,4.865899307482035e-05,0.9962863755448255,0.99646213215437,1,2,1,3,2,5,3,3
14.827058823529413,0.8066424603400996,13.59,16.65,0,0.0,0,0,1.7770588235294118,0.352752829646382,1.28,2.55,150.8447058823529,1.7167560894280351,146.92,153.85,16.470588235294116,7.238073354308654,5,30,1.0141176470588236,0.16628510244191344,0.74,1.36,0.5824691402368996,0.008132030598992541,0.5699318324369157,0.5958677225563005,0.9963652905134801,3.308125883566463e-05,0.9963127656895079,0.9964122815380524,1,2,1,3,1,5,3,3
14.245555555555557,1.478260050795454,12.09,16.6,0,0.0,0,0,2.623333333333333,0.5880476171195662,1.72,3.38,123.05333333333334,1.150988705418082,121.14,124.46,20.0,7.5,15,30,0.9777777777777779,0.20986768318262924,0.61,1.29,0.4702028116754388,0.007437994253144515,0.4584568295725403,0.48555692192152344,0.9964372827111375,4.463653658907092e-05,0.9963849605495366,0.9965115398944457,1,2,1,2,1,5,2,3
17.982000000000003,1.2446984718052347,16.11,20.21,0,0.0,0,0,1.3953333333333335,0.42585823708745857,0.67,2.05,152.2973333333333,3.4602280409299855,148.01,158.33,92.66666666666667,96.85900405572353,-15,180,1.054,0.14826616992037375,0.8,1.38,0.6011757516918756,0.015171843650146654,0.5774941806686387,0.6291048265744154,0.9963264294653775,2.9466228956273586e-05,0.9962745561326051,0.9963749602028987,2,2,1,3,2,5,3,3
15.484444444444446,1.5474584898399633,12.94,18.3,0,0.0,0,0,1.8155555555555551,0.4111602823447052,0.97,2.26,162.26222222222225,1.7060830707924026,159.74,165.21,16.666666666666668,5.0,15,30,1.048888888888889,0.17215141913766238,0.81,1.35,0.6317045074429277,0.007060309246638841,0.6251362947555525,0.6470923266497448,0.9963714539069307,2.7593439204835883e-05,0.9963290902522967,0.9964117581295371,1,2,1,3,1,5,3,3
13.91695652173913,1.032677168522357,12.16,16.37,0,0.0,0,0,2.682173913043478,0.8035996092680796,0.0,3.66,146.88434782608695,1.4041491311853944,144.29,149.11,27.82608695652174,71.45923960483476,-15,180,0.967391304347826,0.21335453616636985,0.48,1.34,0.5644853880677488,0.010582951402531692,0.5475715782496204,0.5830138335864702,0.9962744688379633,2.7974698853541185e-05,0.9962272473609111,0.9963438829823625,1,2,1,3,1,5,2,3
15.250499999999997,0.9345839209312118,13.91,16.88,0,0.0,0,0,2.057,0.5473870948231675,1.15,3.38,129.60650000000004,2.361035176625536,126.16,134.82,32.25,5.495213227987849,30,45,0.9720000000000001,0.19933045823192042,0.63,1.32,0.47874411494498875,0.014932205050003809,0.4493873985702135,0.5096403497636057,0.9964133014312756,2.7717546263466098e-05,0.9963660728457483,0.9964676218876525,1,2,1,2,2,5,2,3
11.804736842105262,0.7245639947279604,10.91,13.07,0,0.0,0,0,2.353157894736842,0.4434592882676801,1.72,3.72,157.30578947368423,1.9257734832456135,154.13,161.29,24.473684210526315,7.433919416750281,15,30,0.9942105263157895,0.18294855954228362,0.66,1.26,0.6191117382231982,0.010655729897400854,0.601576641524249,0.6440388971473066,0.9963620944793096,3.939146490926671e-05,0.996302416950063,0.9964500601684717,1,2,1,3,1,5,3,3
15.533888888888892,1.253090949653925,14.33,19.67,0,0.0,0,0,1.596666666666667,0.3396711212161483,0.69,2.22,182.2088888888889,3.2282209431072535,176.33,189.79,131.66666666666666,80.29357896824261,0,180,0.8361111111111112,0.18458662525281247,0.56,1.17,0.7170904581297606,0.013750219832698215,0.6912734604811115,0.7487315033317314,0.9962804111402994,2.1141368246188178e-05,0.9962460340800141,0.9963200518728327,1,2,1,3,3,5,3,3
15.86941176470588,1.555588596754599,13.3,18.06,0,0.0,0,0,1.5217647058823531,0.30615019382073005,0.99,2.17,146.23058823529414,6.277795662679152,138.63,155.82,18.235294117647058,42.607994278897806,0,180,0.9888235294117649,0.17884638495581814,0.76,1.3,0.5620656011469244,0.030337177391159677,0.5258965666981119,0.6072393373407756,0.996445508630187,3.579753695261835e-05,0.9963665404537435,0.9965051107220612,1,2,1,3,1,5,2,3
13.370909090909093,1.1461193700438062,11.68,17.25,0,0.0,0,0,1.8090909090909093,0.6052776544372334,1.0,3.2,163.35045454545454,2.523339580930922,159.19,169.4,23.181818181818183,8.937009000226523,15,45,0.9590909090909091,0.24755776797517073,0.34,1.39,0.6420327853546433,0.010647221186790269,0.6138015647833042,0.6581531912584748,0.9963309251214924,3.362667255936006e-05,0.9962491603492947,0.996393192234318,1,2,1,3,1,5,3,3
